Predictor,beta,SE,z,p,CI_low,CI_high
Morph Step (MS),0.7349559744313433,0.005311664772364124,138.36640788312172,0.0,0.7245453027795595,0.7453666460831271
Face Gender (FG),-0.2475574575633796,0.15202312503616378,-1.6284197388028288,0.10343591502690438,-0.5455173074514901,0.050402392324730816
Participant Gender (PG),0.32516056419230943,0.06747245206547783,4.81916032748834,1.441636703319621e-06,0.1929169881953677,0.45740414018925113
MS × FG,0.026096667557186926,0.005872287724237425,4.444037619184581,8.828615717902173e-06,0.014587195110824897,0.037606140003548956
MS × PG,-0.06471519894614289,0.005913615073223516,-10.94342430895939,7.144923371751616e-28,-0.07630567150809417,-0.0531247263841916
FG × PG,-0.007827328387060304,0.03055219818728143,-0.2561952609458635,0.7978000677673552,-0.06770853648266183,0.05205387970854122
