Predictor,Full_beta,Full_p,Trimmed_beta,Trimmed_p,Delta_beta,Percent_delta
Morph Step (MS),0.7349559744313433,0.0,0.7708125196720594,0.0,0.03585654524071613,4.878733759312671
Face Gender (FG),-0.2475574575633796,0.10343591502690438,-0.20449421032080645,0.0642056583601817,0.043063247242573155,17.39525347620528
Participant Gender (PG),0.32516056419230943,1.441636703319621e-06,0.2751136452172598,1.9731690725189256e-07,-0.05004691897504965,-15.39144794486718
MS × FG,0.026096667557186926,8.828615717902173e-06,0.027083375180997158,6.376082562845178e-09,0.0009867076238102325,3.780971733690523
MS × PG,-0.06471519894614289,7.144923371751616e-28,-0.060256945073733796,1.2223305866299092e-37,0.004458253872409092,6.889036802699837
FG × PG,-0.007827328387060304,0.7978000677673552,-0.030250660540588517,0.21606337842321477,-0.022423332153528215,-286.4749125350669
