ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,2,1,10,1.002734600,60421.2648,60422.2675,0,1.0615804,3
2,1,2,4,8,1.871026950,60423.3291,60425.2001,0,1.6762097,4
3,1,2,4,1,1.876606292,60426.8763,60428.7529,0,1.2615093,5
4,1,1,9,16,1.645897279,60430.0145,60431.6603,0,2.1795632,9
5,1,2,1,11,1.074256545,60433.8399,60434.9142,0,1.1843810,2
6,1,1,4,21,1.770811905,60436.0986,60437.8694,0,2.7779994,4
7,1,1,8,1,1.705072037,60440.6474,60442.3524,0,2.0107482,8
8,1,1,1,8,1.375060468,60444.3632,60445.7382,0,1.5973419,1
9,1,2,7,18,1.809866941,60447.3356,60449.1455,0,2.6439961,8
10,1,1,7,3,1.348652797,60451.7894,60453.1381,0,3.8951468,8
11,1,2,3,12,1.319245519,60457.0332,60458.3525,0,1.4257686,4
12,1,1,4,5,1.505588439,60459.7783,60461.2838,0,1.9782603,3
13,1,1,1,1,1.606016221,60463.2621,60464.8681,0,2.2320890,2
14,1,2,9,14,1.504510521,60467.1002,60468.6047,0,2.9588487,8
15,1,1,5,7,1.064111906,60471.5636,60472.6277,0,2.4160165,4
16,1,1,8,4,1.727100684,60475.0437,60476.7708,0,2.1259336,8
17,1,1,6,12,1.890507189,60478.8967,60480.7872,0,1.2153883,6
18,1,1,8,14,1.453937735,60482.0026,60483.4566,0,1.5837368,7
19,1,1,2,5,1.986389885,60485.0403,60487.0267,0,3.0528756,2
20,1,2,2,18,1.649392118,60490.0796,60491.7290,0,1.5229151,3
21,1,1,2,2,1.034215138,60493.2519,60494.2861,0,1.9265318,3
22,1,2,3,10,1.899846172,60496.2126,60498.1125,0,2.0074207,4
23,1,2,8,10,1.825256805,60500.1199,60501.9452,0,1.9380527,8
24,1,2,2,15,1.891715198,60503.8832,60505.7749,0,1.8688372,2
25,1,1,4,6,1.731331294,60507.6438,60509.3751,0,3.5616371,4
26,1,1,9,21,1.704058952,60512.9367,60514.6408,0,1.8840456,9
27,1,2,3,3,1.948399821,60516.5248,60518.4732,0,2.7705291,3
28,1,1,6,18,1.560113059,60521.2438,60522.8039,0,1.7820281,5
29,1,1,7,8,1.510137938,60524.5859,60526.0960,0,1.4847730,6
30,1,2,5,4,1.300046466,60527.5808,60528.8809,0,1.2226549,3
31,1,1,3,18,1.843603334,60530.1035,60531.9471,0,2.3087768,3
32,1,2,5,5,1.314732806,60534.2559,60535.5706,0,1.1635369,5
33,1,1,7,6,1.654320920,60536.7342,60538.3885,0,2.0391738,7
34,1,2,6,9,1.123532017,60540.4277,60541.5512,0,1.8163519,5
35,1,2,7,9,1.466050499,60543.3675,60544.8336,0,1.6942595,7
36,1,2,3,22,1.995675546,60546.5278,60548.5235,0,1.3358780,3
37,1,2,4,10,1.692110345,60549.8594,60551.5515,0,1.8743217,4
38,1,1,5,5,1.333768943,60553.4258,60554.7596,0,0.7456485,5
39,1,1,2,21,1.657355029,60555.5053,60557.1626,0,1.3648026,3
40,1,1,8,6,1.495977310,60558.5274,60560.0234,0,1.3359686,8
41,1,1,1,3,1.098064489,60561.3594,60562.4574,0,2.3699275,2
42,1,1,2,20,1.977656042,60564.8273,60566.8050,0,1.6716658,3
43,1,2,7,12,1.197677101,60568.4767,60569.6743,0,1.1423977,8
44,1,2,4,14,1.676153193,60570.8167,60572.4929,0,1.4674621,3
45,1,1,8,10,1.541064329,60573.9604,60575.5014,0,1.7317314,4
46,1,1,7,19,1.649312865,60577.2332,60578.8825,0,1.1096596,6
47,3,2,6,19,1.752540689,60579.9921,60581.7447,0,NaN,None
48,1,1,8,21,1.293327842,60585.7447,60587.0380,0,1.4445457,4
49,1,2,2,5,1.244887200,60588.4825,60589.7274,0,1.9120668,3
50,1,2,9,22,1.055260138,60591.6395,60592.6948,0,0.9506269,8
51,1,2,1,20,1.207058392,60593.6454,60594.8524,0,2.6199385,2
52,1,1,5,22,1.280415105,60597.4724,60598.7528,0,3.2839140,6
53,1,1,2,14,1.894581172,60602.0367,60603.9313,0,1.7018796,2
54,1,1,6,6,1.964654744,60605.6332,60607.5978,0,0.8170921,6
55,1,2,9,11,1.092635717,60608.4149,60609.5076,0,1.2530699,4
56,1,2,8,11,1.600360439,60610.7606,60612.3610,0,2.3438979,6
57,1,1,1,19,1.108793741,60614.7049,60615.8137,0,0.8525573,1
58,1,2,9,16,1.840790770,60616.6662,60618.5070,0,1.3741570,8
59,1,1,3,9,1.920839558,60619.8812,60621.8020,0,2.2284106,2
60,1,1,9,6,1.254653239,60624.0304,60625.2851,0,2.5923736,9
61,1,1,9,1,1.923801287,60627.8775,60629.8013,0,2.9025462,7
62,1,2,6,22,1.362086338,60632.7038,60634.0659,0,0.6029488,6
63,1,2,6,14,1.457350092,60634.6688,60636.1262,0,1.4044228,5
64,1,2,9,4,1.195740795,60637.5306,60638.7264,0,1.4077234,4
65,1,1,4,16,1.336746126,60640.1341,60641.4708,0,1.7276313,3
66,1,1,5,11,1.102741482,60643.1985,60644.3012,0,2.0508479,4
67,1,2,1,18,1.478529790,60646.3520,60647.8306,0,1.4188103,2
68,1,1,8,12,1.816484038,60649.2494,60651.0659,0,2.1100276,8
69,1,1,7,1,1.317192909,60653.1759,60654.4931,0,3.3044920,7
70,1,2,5,17,1.088983679,60657.7976,60658.8866,0,4.0000000,5
71,1,1,8,13,1.083632305,60662.8866,60663.9702,0,0.6409573,4
72,1,2,1,14,1.557149014,60664.6112,60666.1683,0,1.6829641,2
73,1,2,5,10,1.894321626,60667.8513,60669.7456,0,1.8593720,5
74,1,1,6,9,1.633368015,60671.6050,60673.2383,0,1.9067507,5
75,1,1,3,17,1.830075059,60675.1451,60676.9752,0,2.5444969,4
76,1,1,9,8,1.225164371,60679.5197,60680.7448,0,2.6849932,9
77,1,1,8,17,1.851937137,60683.4298,60685.2817,0,2.5364656,7
78,1,1,4,11,1.144355560,60687.8182,60688.9626,0,2.1589708,4
79,1,2,8,20,1.381348010,60691.1215,60692.5029,0,1.8420782,8
80,1,2,1,16,1.787924771,60694.3450,60696.1329,0,1.6098538,1
81,1,1,8,19,1.613270669,60697.7427,60699.3560,0,2.3046651,8
82,3,1,7,4,1.379930417,60701.6607,60703.0406,0,NaN,None
83,1,1,2,12,1.199912134,60707.0406,60708.2405,0,1.6374741,2
84,1,1,5,20,1.265590325,60709.8780,60711.1436,0,1.7193068,5
85,1,2,6,18,1.230771536,60712.8629,60714.0937,0,1.4800401,3
86,1,2,2,1,1.692464389,60715.5737,60717.2662,0,2.3904798,2
87,1,1,7,9,1.742386164,60719.6566,60721.3990,0,2.8367375,7
88,1,1,3,3,1.978909801,60724.2358,60726.2147,0,1.0074909,3
89,1,2,1,1,1.059075315,60727.2222,60728.2812,0,0.9293339,2
90,1,2,1,22,1.634956132,60729.2106,60730.8455,0,2.1093264,2
91,1,2,6,7,1.482504690,60732.9549,60734.4374,0,2.1519226,6
92,1,1,4,19,1.986317756,60736.5893,60738.5756,0,1.5113198,3
93,1,2,2,2,1.196705106,60740.0869,60741.2836,0,1.8420089,3
94,1,1,3,22,1.950253964,60743.1256,60745.0759,0,1.5881398,3
95,1,2,4,4,1.652565553,60746.6640,60748.3166,0,2.6691507,4
96,1,2,2,19,1.082963850,60750.9858,60752.0687,0,1.2520015,3
97,1,2,1,6,1.007804391,60753.3207,60754.3285,0,2.2218939,2
98,1,2,2,3,1.897444389,60756.5504,60758.4479,0,1.1649363,3
99,3,1,6,5,1.908617371,60759.6128,60761.5214,0,NaN,None
100,1,2,9,21,1.342189870,60765.5214,60766.8636,0,2.8872629,8
101,1,1,7,10,1.695358122,60769.7509,60771.4462,0,2.2095725,7
102,1,1,4,8,1.937345428,60773.6558,60775.5931,0,2.3000992,3
103,1,2,4,21,1.281977923,60777.8932,60779.1752,0,2.9848172,5
104,1,2,3,7,1.347871825,60782.1600,60783.5079,0,1.4754635,3
105,1,2,5,14,1.311511399,60784.9834,60786.2949,0,1.9882517,5
106,1,2,7,3,1.803983444,60788.2831,60790.0871,0,1.0303543,7
107,1,1,3,16,1.301932417,60791.1175,60792.4194,0,2.1056590,4
108,1,1,8,18,1.776078898,60794.5251,60796.3011,0,2.3724619,8
109,1,2,8,14,1.149256078,60798.6736,60799.8229,0,1.6853205,7
110,1,2,2,6,1.070409114,60801.5082,60802.5786,0,0.7837548,2
111,1,1,5,14,1.294809968,60803.3623,60804.6572,0,2.5579842,5
112,1,1,4,1,1.009623944,60807.2151,60808.2248,0,1.6682247,3
113,1,2,4,18,1.430644630,60809.8930,60811.3236,0,4.0000000,5
114,1,2,3,14,1.167946328,60815.3236,60816.4916,0,1.2808076,4
115,1,2,6,1,1.079541541,60817.7724,60818.8519,0,1.3979954,6
116,1,1,9,22,1.912979184,60820.2499,60822.1629,0,1.8581225,8
117,1,1,8,8,1.615519670,60824.0210,60825.6365,0,0.7642455,7
118,1,2,9,9,1.784810534,60826.4008,60828.1856,0,1.9031250,8
119,1,2,7,6,1.841836722,60830.0887,60831.9306,0,3.0747821,6
120,1,2,6,13,1.894037080,60835.0053,60836.8994,0,2.8955149,5
121,1,1,1,5,1.362939479,60839.7949,60841.1578,0,2.2614292,1
122,1,1,3,13,1.270942668,60843.4193,60844.6902,0,0.6921867,4
123,1,1,2,22,1.563457979,60845.3824,60846.9459,0,2.8261050,3
124,1,2,4,16,1.840009506,60849.7720,60851.6120,0,2.2647430,5
125,1,2,4,13,1.822815686,60853.8767,60855.6995,0,0.8244846,5
126,1,2,2,17,1.923880181,60856.5240,60858.4479,0,1.4106557,3
127,1,2,7,21,1.077284875,60859.8585,60860.9358,0,1.7570473,7
128,1,1,8,15,1.749976217,60862.6929,60864.4429,0,2.3959548,4
129,1,2,7,5,1.564325725,60866.8388,60868.4031,0,1.5055261,6
130,1,2,6,17,1.942089476,60869.9087,60871.8508,0,2.4943176,3
131,1,1,4,9,1.896148436,60874.3451,60876.2412,0,3.5191533,4
132,1,1,5,6,1.631849826,60879.7604,60881.3922,0,2.2205783,5
133,1,1,1,16,1.612293363,60883.6128,60885.2251,0,1.1027287,2
134,1,2,8,4,1.241054628,60886.3278,60887.5689,0,1.3010265,8
135,1,1,3,19,1.674617654,60888.8699,60890.5445,0,1.2771946,3
136,3,1,3,8,1.566221203,60891.8217,60893.3879,0,NaN,None
137,1,1,1,13,1.605727923,60897.3879,60898.9937,0,1.4057910,3
138,1,1,3,7,1.141135916,60900.3995,60901.5406,0,1.1460962,4
139,1,2,3,13,1.803983822,60902.6867,60904.4907,0,1.0753805,3
140,1,2,5,15,1.929348761,60905.5661,60907.4954,0,2.4755149,3
141,1,2,2,22,1.513015799,60909.9709,60911.4839,0,2.4867460,2
142,1,1,4,3,1.529872570,60913.9707,60915.5005,0,2.5393084,5
143,1,1,9,15,1.756947761,60918.0399,60919.7968,0,2.1935145,9
144,1,1,1,4,1.500356759,60921.9903,60923.4907,0,1.3975324,2
145,1,2,5,21,1.930143790,60924.8882,60926.8184,0,2.7883511,6
146,1,2,4,17,1.719378078,60929.6067,60931.3261,0,1.8552210,3
147,1,1,7,22,1.865676233,60933.1813,60935.0470,0,1.4046870,7
148,1,2,3,11,1.620835862,60936.4517,60938.0725,0,1.9013002,3
149,1,2,9,15,1.081523868,60939.9738,60941.0553,0,2.6277662,9
150,1,1,6,7,1.559194806,60943.6831,60945.2423,0,1.9213620,5
151,1,1,1,9,1.717851543,60947.1636,60948.8815,0,1.1118661,1
152,1,1,3,15,1.333151549,60949.9934,60951.3265,0,1.2670217,4
153,1,1,4,12,1.805092049,60952.5935,60954.3986,0,1.2268246,4
154,1,2,4,7,1.783610116,60955.6255,60957.4091,0,1.2230405,4
155,1,2,1,21,1.900724208,60958.6321,60960.5328,0,2.6859782,2
