ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,1,7,9,1.288051564,62113.5567,62114.8448,0,3.5727108,7
2,1,2,9,8,1.321037342,62118.4175,62119.7385,0,1.2458324,8
3,1,1,4,10,1.438739053,62120.9844,62122.4231,0,2.4033545,5
4,1,1,9,9,1.029084311,62124.8264,62125.8555,0,2.0703584,7
5,1,1,4,7,1.986312664,62127.9259,62129.9122,0,1.1562987,4
6,1,1,3,1,1.625637706,62131.0685,62132.6941,0,1.9479725,3
7,1,1,5,20,1.962783456,62134.6421,62136.6049,0,1.8592934,5
8,1,1,7,16,1.856361018,62138.4642,62140.3206,0,1.9067463,4
9,1,2,2,18,1.101192549,62142.2273,62143.3285,0,1.7339435,2
10,1,2,8,6,1.464379907,62145.0624,62146.5268,0,1.5040231,7
11,1,1,8,19,1.552228188,62148.0308,62149.5831,0,2.2904728,3
12,1,2,9,19,1.811788420,62151.8735,62153.6853,0,1.8543205,8
13,1,2,7,13,1.166955173,62155.5396,62156.7066,0,2.4832932,3
14,1,2,5,20,1.108225410,62159.1899,62160.2981,0,1.9681171,4
15,1,2,7,21,1.969283441,62162.2662,62164.2355,0,2.1880053,4
16,1,2,3,5,1.819592517,62166.4235,62168.2431,0,2.2616070,2
17,1,1,4,12,1.122585051,62170.5047,62171.6273,0,2.8715437,3
18,1,2,4,3,1.666714354,62174.4989,62176.1656,0,2.0241235,6
19,1,2,3,20,1.745968299,62178.1897,62179.9357,0,1.2375565,4
20,1,1,9,7,1.924882898,62181.1732,62183.0981,0,0.9734065,9
21,1,2,4,5,1.905440749,62184.0715,62185.9769,0,2.2161807,4
22,1,1,7,3,1.768687199,62188.1931,62189.9618,0,2.8361247,6
23,1,1,4,15,1.676624460,62192.7979,62194.4746,0,1.7974052,4
24,1,1,6,14,1.589531225,62196.2720,62197.8615,0,1.7073981,6
25,1,2,6,22,1.295800674,62199.5689,62200.8647,0,2.8985542,3
26,1,1,1,7,1.679345728,62203.7633,62205.4426,0,1.3366417,1
27,1,1,7,7,1.595412259,62206.7792,62208.3747,0,1.8084334,8
28,3,2,3,3,1.267106483,62210.1831,62211.4502,0,NaN,None
29,1,1,6,19,1.564168170,62215.4502,62217.0144,0,2.0858002,6
30,1,2,5,12,1.836732956,62219.1002,62220.9369,0,2.7422686,5
31,1,2,1,8,1.093934628,62223.6792,62224.7731,0,1.2989730,2
32,1,1,2,20,1.776755152,62226.0721,62227.8488,0,1.7492916,3
