ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,2,4,20,1.115112566,47874.5012,47875.6163,0,0.4309231,5
2,1,2,9,4,1.291853227,47876.0472,47877.3390,0,1.3172056,9
3,1,2,8,17,1.715108964,47878.6562,47880.3714,0,0.5195144,8
4,1,2,5,3,1.005411570,47880.8909,47881.8963,0,2.4499250,3
5,1,1,7,22,1.120081835,47884.3462,47885.4663,0,3.2090741,3
6,1,1,8,10,1.604367484,47888.6754,47890.2797,0,1.6866987,7
7,1,1,3,22,1.873630316,47891.9664,47893.8401,0,2.2413992,2
8,1,2,8,15,1.389469279,47896.0815,47897.4709,0,0.8386046,8
9,1,1,6,3,1.954979568,47898.3095,47900.2645,0,1.3993435,5
10,1,1,6,10,1.075795340,47901.6639,47902.7396,0,1.9272833,6
11,1,1,7,14,1.625579726,47904.6669,47906.2925,0,1.3805863,4
12,1,1,4,20,1.546195313,47907.6731,47909.2193,0,1.5941138,3
13,1,1,6,15,1.736303172,47910.8134,47912.5497,0,0.8340043,3
14,1,2,1,7,1.960807418,47913.3837,47915.3445,0,1.7974929,1
15,1,2,5,22,1.494130227,47917.1420,47918.6361,0,2.4638616,4
16,1,2,9,21,1.142910268,47921.1000,47922.2429,0,1.1639041,8
17,1,2,5,6,1.425028471,47923.4068,47924.8318,0,1.1801879,4
18,1,2,2,15,1.200154819,47926.0120,47927.2122,0,2.8340781,2
19,1,1,3,16,1.270731630,47930.0463,47931.3170,0,1.2617165,2
20,1,1,2,20,1.007679646,47932.5787,47933.5864,0,3.2304266,3
21,1,1,7,18,1.949207706,47936.8168,47938.7660,0,1.3708456,8
22,1,1,2,5,1.198251498,47940.1369,47941.3351,0,1.4829586,2
23,1,1,2,18,1.102446729,47942.8181,47943.9205,0,2.3877842,3
24,1,1,2,1,1.476324861,47946.3083,47947.7846,0,3.0487018,3
25,1,1,2,8,1.748931313,47950.8333,47952.5823,0,1.0586455,3
26,1,1,8,4,1.554473423,47953.6409,47955.1954,0,1.7550229,4
27,1,1,8,13,1.041056719,47956.9504,47957.9915,0,1.4499966,7
28,1,1,3,17,1.769178211,47959.4415,47961.2107,0,2.2257152,2
29,1,1,7,2,1.092447761,47963.4364,47964.5288,0,2.1016854,6
30,1,2,1,17,1.916317963,47966.6305,47968.5468,0,2.5635852,2
31,1,1,4,2,1.100678779,47971.1104,47972.2111,0,1.6345100,5
32,1,2,4,22,1.598166096,47973.8456,47975.4438,0,1.3219158,3
33,1,2,4,10,1.377560691,47976.7657,47978.1432,0,2.0826187,3
34,1,2,4,5,1.857022666,47980.2259,47982.0829,0,2.0148098,5
35,1,2,1,6,1.666315305,47984.0977,47985.7640,0,2.4780277,1
36,1,2,1,21,1.339163930,47988.2420,47989.5812,0,0.8444215,3
37,1,1,2,11,1.569562272,47990.4256,47991.9952,0,1.2337102,3
38,1,1,8,14,1.979149908,47993.2289,47995.2080,0,1.2088183,4
39,1,1,5,2,1.178648997,47996.4169,47997.5955,0,1.6743997,2
40,1,2,3,6,1.676390413,47999.2699,48000.9463,0,2.1224135,3
