ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
13,1,2,7,16,1.56477992079702,3693.3645045,3694.9353678,0,0.732651199999964,8
14,1,2,7,5,1.05345101100991,3695.6680686,3696.7305706,0,0.817612199999985,8
15,1,2,7,13,1.14702164207252,3697.5482617,3698.7024004,0,0.541941099999804,7
16,1,1,8,6,1.89308627801661,3699.2443954,3701.1450177,0,0.795044299999972,7
17,1,2,8,1,1.29601318166118,3701.9401149,3703.2453933,0,0.782512499999939,9
18,1,1,5,1,1.24421136428198,3704.0279589,3705.27964,0,0.964344199999687,3
19,1,2,3,19,1.62415717147164,3706.244031,3707.8745042,0,0.609620499999892,2
20,1,2,4,9,1.32278935399728,3708.4842108,3709.8148191,0,0.667484199999762,4
21,1,1,4,15,1.33082197381558,3710.4823515,3711.8212526,0,0.823230499999681,2
22,1,1,9,20,1.70882123651998,3712.6445524,3714.3597812,0,0.6683936000004,8
23,1,1,5,21,1.41471294037698,3715.0282225,3716.449076,0,0.715775900000153,2
24,1,2,7,19,1.84836192427717,3717.1652791,3719.0220622,0,0.782417899999928,9
25,1,2,1,9,1.57765552842667,3719.8045474,3721.391414,0,0.70064149999962,3
26,1,2,6,17,1.6738050698518,3722.0921272,3723.770346,0,0.737574400000085,6
27,1,2,5,9,1.46951754533109,3724.5080543,3725.9844696,0,0.93166569999994,7
28,1,1,6,10,1.88985557906722,3726.9162377,3728.8130818,0,1.46363729999985,3
29,1,2,9,15,1.42781585273513,3730.2770473,3731.7151024,0,1.02658470000006,8
30,1,2,3,22,1.71496954070881,3732.7426835,3734.4668389,0,0.993654400000196,2
31,1,1,8,9,1.17624525158399,3735.4605456,3736.6420235,0,1.02606419999984,8
32,1,2,7,22,1.29146927002456,3737.6681365,3738.9672881,0,1.46889689999989,7
33,1,1,2,9,1.17218036787637,3740.4362488,3741.6179537,0,1.59510060000002,2
34,1,1,8,17,1.16274793625539,3743.2139893,3744.3848331,0,1.53125170000021,8
35,1,1,1,10,1.2989068710287,3745.9161432,3747.2232176,0,1.66117689999965,2
36,1,2,4,8,1.29871306900687,3748.884516,3750.1922127,0,1.70793990000038,4
37,1,1,2,3,1.57603257332447,3751.90021,3753.4828866,0,1.57699660000026,3
38,1,1,6,13,1.25876807470554,3755.0599576,3756.3228772,0,1.67370159999973,3
39,1,1,8,1,1.72541443914186,3757.9967819,3759.7301988,0,1.17767090000007,7
40,1,1,1,14,1.01552987281629,3760.9079332,3761.93003,0,1.32992509999985,1
41,1,1,6,22,1.57954531750773,3763.2600038,3764.8479803,0,1.49267879999979,4
42,1,1,7,3,1.23255181011624,3766.340711,3767.580807,0,2.00716820000025,6
43,1,1,2,4,1.33759823873002,3769.5880332,3770.9321873,0,1.495813,2
44,1,2,4,16,1.28600235816193,3772.4284325,3773.7223632,0,1.40246960000013,5
45,1,1,3,12,1.50145240802496,3775.1249609,3776.6327962,0,1.18716989999984,2
46,1,1,7,1,1.48495570548103,3777.8200352,3779.3091517,0,0.967409500000031,8
47,1,2,1,19,1.21738810738898,3780.2766287,3781.5022159,0,2.02965739999991,2
48,1,1,5,4,1.05213620472477,3783.5319605,3784.5920939,0,1.28466320000007,5
49,1,1,3,10,1.89776270617237,3785.8770472,3787.7826381,0,1.1897057000001,2
50,1,1,3,3,1.27818693488968,3788.9725816,3790.2581521,0,1.07370609999998,5
51,1,2,3,15,1.7745331626096,3791.3319341,3793.1123519,0,1.1075393000001,2
52,1,2,1,5,1.94401555635031,3794.2199406,3796.1740957,0,0.998178599999846,1
53,1,1,4,19,1.42355944832073,3797.1727337,3798.6066223,0,1.34142240000028,5
54,1,2,1,6,1.14541564279742,3799.9481204,3801.1001796,0,1.29598850000002,6
55,1,1,5,7,1.68954439970893,3802.3963276,3804.0948232,0,1.47781099999975,6
56,1,2,5,20,1.53224523950037,3805.5727613,3807.112789,0,1.11522100000002,5
57,1,2,7,1,1.74129104937526,3808.2281258,3809.977274,0,1.29120860000012,7
58,1,1,7,13,1.93045017649797,3811.2686154,3813.2058021,0,1.54240820000041,6
59,1,1,8,7,1.35620571587222,3814.7482846,3816.1132122,0,1.33920110000008,7
60,1,2,2,21,1.94732993977098,3817.4525789,3819.4086253,0,1.15565819999983,2
61,1,2,2,20,1.48916398845699,3820.5643484,3822.0595453,0,1.18514379999988,1
62,1,2,4,20,1.25405363627418,3823.244735,3824.5050348,0,1.31513290000021,5
63,1,1,6,14,1.50235660515858,3825.8202226,3827.3301881,0,1.2925266999996,6
64,1,1,1,2,1.04810449235634,3828.6228689,3829.6795083,0,1.82859909999979,2
65,1,2,5,17,1.18252764355362,3831.5081562,3832.6964658,0,1.19614269999965,5
66,1,2,6,22,1.45536242230411,3833.8926569,3835.3550671,0,1.13712680000026,5
