ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,1,5,18,1.67559144289478,164748.1228079,164749.8253017,0,3.71896129997913,5
2,1,1,2,14,1.58222288035443,164753.5465572,164755.1526073,0,2.48988300000201,2
3,1,1,5,8,1.43259114048071,164757.6436591,164759.102097,0,1.86021640000399,8
4,1,2,2,3,1.37638583333839,164760.9625336,164762.3627633,0,3.46159799999441,6
5,1,1,3,2,1.26621336923032,164765.8256363,164767.1141189,0,3.94302780000726,2
6,1,1,1,13,1.93591871272418,164771.0572459,164773.0167374,0,1.70322120000492,1
7,1,2,5,21,1.63381015474583,164774.7200278,164776.3785698,0,2.53345550000085,4
8,1,1,7,2,1.24377010512499,164778.9120941,164780.1809187,0,2.17196609999519,7
9,1,1,3,13,1.891289090538,164782.3531118,164784.2636515,0,2.93648850001046,2
10,1,1,7,12,1.57081191288781,164787.2002091,164788.7966586,0,3.51529379998101,8
11,1,2,9,1,1.79972436489311,164792.3120309,164794.1354131,0,1.0968779999821,9
12,1,2,1,12,1.36119778446703,164795.2334683,164796.6195115,0,1.78841229999671,1
13,1,1,9,19,1.65461795934204,164798.4079735,164800.0854465,0,2.74663510001847,8
14,1,2,6,14,1.3758817670335,164802.8321503,164804.2322867,0,3.68194380000932,6
15,1,1,2,1,1.97414552359189,164807.9142836,164809.9106546,0,2.34583909998764,2
16,1,1,2,16,1.21664611301767,164812.2566556,164813.4940028,0,2.36185240000486,2
17,1,2,6,1,1.52266119887244,164815.8559016,164817.4059977,0,1.99384330000612,4
18,1,2,8,17,1.02385103274057,164819.3998886,164820.4438332,0,1.86032629999681,6
19,1,2,4,22,1.09192683485231,164822.3042283,164823.4197403,0,2.20413619998726,3
20,1,2,3,22,1.41010379468974,164825.6239491,164827.0587351,0,1.37317259999691,2
21,1,2,6,9,1.8031263100607,164828.4319537,164830.2604442,0,1.71541540001635,5
22,1,1,7,18,1.21594859212933,164831.9759057,164833.2106935,0,1.62907570000971,6
23,1,2,5,3,1.55403104605975,164834.8398242,164836.4165792,0,2.5112017999927,4
24,1,1,9,4,1.38105635497406,164838.9278295,164840.3347277,0,2.28129169999738,9
25,1,1,1,6,1.80886615211028,164842.6160896,164844.4491158,0,1.75090859999182,4
26,1,2,2,19,1.80928086811481,164846.2008309,164848.0351143,0,2.22067549999338,4
27,1,2,8,6,1.18541098758952,164850.2558448,164851.4630025,0,1.9527545000019,7
28,3,1,3,4,1.30303642728231,164853.4158119,164854.7460046,0,NaN,None
29,1,2,2,20,1.46221326293929,164858.7463744,164860.2337599,0,1.62278629999491,3
30,1,2,3,5,1.33508609533599,164861.8569767,164863.2173111,0,1.71060340001713,4
31,1,1,3,19,1.55921869797578,164864.9280157,164866.5116991,0,1.4960992000124,4
32,1,2,9,19,1.99136766938915,164868.0079101,164870.0213899,0,1.57281819998752,7
33,1,2,1,13,1.12843947865505,164871.5942554,164872.7500609,0,1.67382470000302,2
34,1,1,6,11,1.58730619918905,164874.4239508,164876.0315713,0,1.40909450000618,5
35,1,1,6,6,1.93467371650609,164877.4407353,164879.4003156,0,1.2805829999852,5
36,1,1,8,21,1.69052209704297,164880.6813676,164882.3932178,0,1.49353839998366,7
37,1,1,2,10,1.14325127500975,164883.8868018,164885.0530451,0,2.73919880000176,3
38,1,1,3,6,1.93645271621513,164887.7924688,164889.7533188,0,1.47889239998767,4
39,1,2,9,4,1.82807625298061,164891.2324028,164893.084195,0,1.64400589998695,8
40,1,2,3,13,1.97661777203838,164894.7286182,164896.7274165,0,1.9533637999848,4
41,1,1,8,12,1.90015606007003,164898.6810613,164900.6085449,0,1.6716185999976,7
42,1,2,4,11,1.00406460617744,164902.2802263,164903.3059054,0,2.28685800000676,4
43,1,1,9,18,1.2330966726383,164905.5931152,164906.8462159,0,1.2577873999835,7
44,1,1,9,6,1.80901588424795,164908.1040529,164909.9371931,0,1.10281020001275,8
45,1,2,7,9,1.69510588376783,164911.0400581,164912.7611714,0,1.75881460000528,6
46,1,2,7,6,1.40410710872534,164914.5200347,164915.9454589,0,1.65443749999395,6
47,1,1,7,13,1.81919689134228,164917.5999683,164919.4481623,0,1.5437514000223,6
48,1,2,5,15,1.2675887104396,164920.9919662,164922.2784105,0,1.84138389999862,4
49,1,1,6,22,1.73632703048294,164924.1198406,164925.8834184,0,1.1247449000075,5
50,1,2,4,6,1.38562273886889,164927.0086871,164928.4211783,0,1.4667454000155,4
51,1,1,3,8,1.56160053517679,164929.8880048,164931.4735432,0,1.34240659998613,3
52,1,1,6,18,1.4423265004962,164932.8160201,164934.2819203,0,1.49387409997871,5
53,1,2,4,19,1.47220366487664,164935.7758567,164937.2708104,0,1.76111950000632,4
54,1,2,3,11,1.78616574179942,164939.0319783,164940.8397562,0,1.296552099986,4
55,1,1,4,17,1.35013878010533,164942.1363792,164943.508085,0,1.8918052999943,4
56,1,2,2,13,1.19419661964824,164945.3999372,164946.6175222,0,1.76683080001385,2
57,1,1,7,19,1.19741407265785,164948.3844143,164949.6090388,0,2.79125909999129,5
58,1,1,9,9,1.45573543026875,164952.4003614,164953.8832633,0,2.45253750000848,9
59,1,1,6,5,1.18790024290698,164956.3358481,164957.546345,0,2.23745009998675,5
60,1,1,1,15,1.93986008744907,164959.7838436,164961.7471515,0,1.21318019999308,1
61,1,1,6,21,1.27727133037931,164962.9604517,164964.2649264,0,1.39214469998842,5
62,1,2,7,21,1.77214007486834,164965.6571365,164967.4524431,0,1.50772520000464,6
63,1,2,8,11,1.77156734306074,164968.9603161,164970.7513869,0,1.40842049999628,8
64,1,1,1,19,1.84424959584279,164972.1598634,164974.0300832,0,1.9778229999938,3
65,1,2,7,11,1.26961368154722,164976.0079786,164977.299952,0,1.37466679999488,7
66,1,1,4,21,1.92651380860453,164978.6746684,164980.622148,0,1.34013170000981,5
67,1,1,8,17,1.12090807486714,164981.9623855,164983.1066923,0,1.34236879998934,6
68,1,2,3,16,1.45227226405935,164984.4493439,164985.9258815,0,1.45476180000696,4
69,1,2,5,16,1.40777662574063,164987.3806899,164988.8080944,0,1.3416335999791,4
70,1,1,3,11,1.44876182610033,164990.149776,164991.6224725,0,1.20188070001313,4
71,1,2,1,3,1.98907243660586,164992.8246575,164994.8377852,0,1.65630979998969,2
72,1,2,8,12,1.56266567406268,164996.4941976,164998.0819061,0,2.03832910000347,8
73,1,1,7,3,1.54860308030374,165000.1206406,165001.696671,0,1.92759099998511,6
74,1,1,9,15,1.62654441224129,165003.6243105,165005.2782129,0,1.59446500000195,9
75,1,1,6,4,1.05854584890358,165006.8730625,165007.9563673,0,2.14763279998442,4
76,1,1,4,6,1.87687294525491,165010.1040488,165012.0025313,0,2.30955959999119,3
77,1,2,7,19,1.26492369741028,165014.3123337,165015.5994205,0,1.83251800001017,4
78,1,2,9,3,1.12244441015533,165017.4319857,165018.5776135,0,2.24691270000767,8
79,1,1,1,5,1.6769190892742,165020.8245818,165022.5251216,0,2.26689570001327,1
80,1,1,7,17,1.81609215611172,165024.792064,165026.6299261,0,2.36200019999524,6
81,1,2,4,17,1.5503374316959,165028.9919742,165030.5695772,0,1.64644140002201,4
82,1,1,5,10,1.21686637318064,165032.216088,165033.4563681,0,1.76838989998214,4
83,1,2,9,22,1.90214829524605,165035.2249306,165037.1514802,0,1.40855429999647,9
84,1,1,7,5,1.41285937004248,165038.560083,165039.9975893,0,1.68235200000345,6
85,1,1,5,22,1.08020141027776,165041.6800102,165042.7886884,0,1.43609830000787,5
86,1,1,5,3,1.59186054188323,165044.2251069,165045.8416519,0,1.0865278999845,5
87,1,1,7,9,1.44049594679841,165046.92827,165048.3944775,0,2.83737449999899,6
88,1,2,1,6,1.28642583630863,165051.23192,165052.5444633,0,1.71960229999968,4
89,1,2,7,12,1.2476945264579,165054.2642028,165055.5393498,0,1.74858939999831,6
90,1,1,8,11,1.12524092781661,165057.2880006,165058.4381105,0,1.36184420000063,7
91,1,2,7,3,1.81406936285224,165059.8000367,165061.6379922,0,2.77008889999706,6
92,1,1,3,18,1.19807537676435,165064.4081327,165065.6303882,0,1.58863149999524,3
93,1,2,4,8,1.42039642683788,165067.2192381,165068.6640493,0,1.43979270002455,4
94,1,2,2,5,1.72476748311383,165070.1038904,165071.8531159,0,2.20273520000046,1
95,1,2,5,1,1.17505411745004,165074.0558983,165075.2545123,0,2.06563100000494,3
96,1,1,2,8,1.35506971797849,165077.3202113,165078.6989458,0,2.03715280001052,1
97,1,2,7,18,1.96767938037173,165080.7363895,165082.7281537,0,1.81585349998204,6
98,1,2,7,7,1.90586174530337,165084.544076,165086.4753114,0,1.46203970001079,7
99,1,1,5,19,1.54342743917406,165087.9374162,165089.5064463,0,1.13343750001513,5
100,1,1,6,12,1.56843220522554,165090.6399433,165092.2357368,0,1.47611689998303,6
101,1,1,3,10,1.84415807115964,165093.711901,165095.5787749,0,2.08360340000945,3
102,1,2,1,17,1.62123767614896,165097.6624933,165099.3062065,0,1.36873219997506,2
103,1,1,5,13,1.51160789582459,165100.6750483,165102.2108905,0,2.56064410001272,5
104,1,2,1,8,1.69841607631908,165104.7716363,165106.497213,0,1.67065420001745,1
105,1,1,2,20,1.1971907482671,165108.1679138,165109.3912334,0,1.82543520000763,1
106,1,2,4,13,1.77147426078981,165111.2168819,165113.0121844,0,1.58779459999641,5
107,1,1,7,11,1.35790522504191,165114.6000261,165115.9814002,0,1.36611410000478,6
108,1,2,7,8,1.5748619603132,165117.3478307,165118.947454,0,1.58220979999169,7
109,1,2,2,7,1.43738627586417,165120.5297123,165121.9908777,0,1.42511379998177,3
110,1,2,2,18,1.50565140697963,165123.4160416,165124.9458847,0,1.75760400001309,3
111,1,1,1,21,1.04148855208074,165126.7035366,165127.7670596,0,1.98496909998357,2
112,1,1,2,21,1.6978040157574,165129.7520772,165131.4741262,0,0.870290600025328,2
113,1,2,9,21,1.42796045724878,165132.3445484,165133.7955953,0,2.4924852999975,9
114,1,1,1,22,1.48993895831177,165136.288153,165137.803189,0,1.9567706999951,1
115,1,1,2,7,1.37145285551851,165139.7600063,165141.1588972,0,1.44988510000985,3
116,1,2,2,11,1.96857847136612,165142.6089061,165144.6012309,0,1.89475449998281,3
117,1,2,6,16,1.52016330595257,165146.4960503,165148.045211,0,1.63489080002182,5
