ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,1,1,7,1.01521528626836,438632.0573718,438633.097448681,0,3.53519471932668,2
2,3,2,6,16,1.36768198710266,438636.7268803,438638.12066501,0,NaN,None
3,3,2,9,22,1.94944825427148,438642.1212114,438644.091990388,0,NaN,None
4,1,1,1,20,1.25211340944585,438648.0924503,438649.364707905,0,1.99855879490497,2
5,1,1,8,6,1.06756709895349,438651.3655584,438652.45847661,0,3.77610309002921,7
6,1,1,8,14,1.29391486360796,438656.2358796,438657.564877415,0,2.83089038514299,8
7,1,2,9,6,1.78016066985262,438660.3982377,438662.205535305,0,2.48411589494208,7
8,1,1,4,10,1.29240083777952,438664.6927525,438665.997956649,0,2.21371845115209,4
9,1,2,3,2,1.40564148893282,438668.2122007,438669.640578961,0,3.41528023889987,3
10,1,1,4,6,1.40813058805288,438673.0560892,438674.480914815,0,1.15967568533961,4
11,1,1,9,18,1.72903744500393,438675.6408141,438677.391653117,0,2.18592968268786,6
12,3,1,4,15,1.15640518832495,438679.5786666,438680.751559483,0,NaN,None
13,1,1,1,19,1.18420654944424,438684.7519223,438685.957750881,0,1.56527461938094,3
14,1,1,8,20,1.36504981445502,438687.5231679,438688.91845431,0,2.5533707900322,8
15,1,1,2,8,1.81607859465135,438691.4719912,438693.309615117,0,3.57445018267026,4
16,3,2,6,4,1.62138575229436,438696.8842408,438698.532458795,0,NaN,None
17,1,1,5,19,1.3163039161347,438702.5327304,438703.871703022,0,2.8503709777724,5
18,1,2,5,7,1.63280812630439,438706.7222165,438708.379304,0,3.01397449983051,5
19,3,2,1,5,1.92573535431772,438711.3934444,438713.335934674,0,NaN,None
20,1,1,1,16,1.33378338599179,438717.336725,438718.691878003,0,1.9980715973652,2
21,1,1,5,11,1.38902060010954,438720.690085,438722.101699571,0,3.19156552909408,5
22,1,2,8,12,1.38064042078078,438725.2934003,438726.70909141,0,1.79601749003632,7
23,1,1,6,18,1.80696708532779,438728.5052503,438730.335111849,0,3.76997485087486,6
24,1,1,4,18,1.61302610430679,438734.10522,438735.741007586,0,2.59419291443191,4
25,3,1,6,1,1.78396634978442,438738.335335,438740.148717708,0,NaN,None
26,1,1,4,16,1.86248278419521,438744.148856,438746.036861205,0,1.35258599492954,3
27,1,1,3,7,1.97254365079942,438747.3895998,438749.380153127,0,2.67107857309747,3
28,1,1,2,18,1.36781524667431,438752.0513854,438753.43864249,0,2.32723130955128,2
29,1,2,9,19,1.37875590446534,438755.7660103,438757.181114615,0,1.32106708514038,6
30,1,1,3,15,1.25620858634916,438758.5023166,438759.775959078,0,2.17681242176332,4
