ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,2,7,9,1.64094629449927,68252.7472528,68254.3927798,0,1.88059270000667,6
2,1,1,2,16,1.61243227444934,68256.2767972,68257.9068336,0,2.34328249999089,3
3,1,2,1,11,1.68730431551298,68260.2529209,68261.9557087,0,1.18154510000022,2
4,1,2,2,5,1.85818048618601,68263.1384505,68265.0090765,0,1.7766522999882,5
5,1,2,7,6,1.80820761364525,68266.7884196,68268.6214798,0,2.48381279999739,6
6,1,2,8,22,1.42074985688457,68271.1069758,68272.544326,0,1.40115819999482,7
7,1,2,9,3,1.29250586345907,68273.9462455,68275.2569237,0,1.18482389999554,7
8,1,2,9,12,1.48143787571927,68276.4433347,68277.9357118,0,1.1219371999905,8
9,1,2,3,6,1.5291235689778,68279.0594171,68280.6097607,0,1.73653039999772,4
10,1,1,6,2,1.17164298871284,68282.3467067,68283.5248766,0,1.5089799999987,5
11,1,2,1,17,1.67891695120003,68285.0343835,68286.7176749,0,1.44483699998818,3
12,1,1,3,15,1.54616218750825,68288.164166,68289.725935,0,1.15586520000943,3
13,1,1,3,6,1.8208387692558,68290.8833341,68292.7206679,0,2.13699050000287,5
14,1,2,5,4,1.88106689628274,68294.8581349,68296.7577629,0,1.56419930000266,5
15,1,1,5,6,1.49223362525724,68298.3236784,68299.8429849,0,1.2943823000096,5
16,1,1,1,4,1.9287461885565,68301.1377844,68303.0709577,0,1.41103180000209,4
17,1,1,4,4,1.82227767175808,68304.4827463,68306.3205749,0,1.16185619999305,5
18,1,2,2,18,1.66804277040472,68307.4844652,68309.1706083,0,1.91954849999456,3
19,1,2,4,12,1.01324190104596,68311.0920548,68312.1281959,0,1.85805709999113,4
20,1,1,7,5,1.68811275155639,68313.9883853,68315.6957703,0,1.49810600001365,6
21,1,2,2,8,1.17701840991491,68317.1959271,68318.3850505,0,2.61667439999292,2
22,1,2,9,6,1.66005623432277,68321.0018376,68322.6695176,0,1.64389319998736,7
23,1,1,1,1,1.65943467937361,68324.313497,68325.9816232,0,1.36433899999247,3
24,1,2,2,21,1.2673288243202,68327.3464923,68328.6310805,0,1.78803830000106,4
25,1,1,3,20,1.1964194941106,68330.4192032,68331.6206754,0,1.58859200000006,1
26,1,1,7,19,1.78629634916611,68333.2095677,68335.0132426,0,3.97235739999451,6
27,1,2,2,1,1.78763292557188,68338.985685,68340.7995336,0,2.60986119999143,3
28,1,1,7,20,1.92790688962285,68343.4096811,68345.3552027,0,2.0063996000099,6
29,1,1,9,21,1.86419230723191,68347.3617251,68349.2421225,0,1.8393281000026,8
30,1,2,3,1,1.44364936168669,68351.0818167,68352.536784,0,1.27270370000042,3
31,1,2,5,6,1.88938149916574,68353.809564,68355.7076848,0,1.59022090000508,5
32,1,1,5,17,1.38214097661534,68357.2980734,68358.6988244,0,0.87844730001234,5
33,1,1,8,6,1.57710655339615,68359.5774179,68361.1746581,0,1.36283089999051,6
34,1,2,8,17,1.59286971646577,68362.5378477,68364.1596095,0,1.6419356999977,8
35,1,2,3,16,1.68508783504605,68365.8036642,68367.497815,0,3.26362160001008,3
36,1,2,8,5,1.63471064880515,68370.7615104,68372.404925,0,1.80440930000623,7
37,3,2,7,10,1.59914612534472,68374.2096312,68375.8359783,0,NaN,None
38,1,2,8,12,1.03350421895682,68379.8362819,68380.8843709,0,1.04523989999143,6
39,1,1,9,10,1.04908631549134,68381.9301327,68383.0036489,0,1.50186759998905,6
40,1,2,6,13,1.40360946100318,68384.5055904,68385.9271047,0,1.90657930000452,5
41,1,1,7,9,1.52785726956742,68387.8337606,68389.3726285,0,1.22903349999979,7
42,1,2,6,2,1.10974555504482,68390.6017379,68391.7187931,0,1.09068220001063,5
43,1,1,7,13,1.50312518504305,68392.8095658,68394.3294237,0,1.53621010000643,6
44,1,2,6,1,1.09952441758977,68395.8657117,68396.9736387,0,0.900065800000448,5
45,1,1,3,18,1.77836724509086,68397.8739972,68399.6723097,0,2.42505859999801,4
46,1,1,3,19,1.57970949658422,68402.0977991,68403.6958706,0,1.45014260000607,5
47,1,2,9,19,1.88839835001257,68405.1461264,68407.0428943,0,1.88693639999838,6
48,3,1,4,7,1.65051668677284,68408.9311911,68410.5859057,0,NaN,None
49,1,2,9,8,1.97223443965642,68414.586088,68416.5730161,0,1.57238399999915,7
50,1,1,4,2,1.63001206388367,68418.1454743,68419.7899208,0,1.36363799999526,5
51,1,1,4,11,1.26148223833302,68421.1538618,68422.4267189,0,1.52682160001132,5
52,1,2,8,11,1.85463344360504,68423.953631,68425.8131132,0,1.58872240000346,7
53,1,2,4,10,1.54718807446686,68427.4021997,68428.9815866,0,1.05426669999724,5
54,1,1,1,21,1.03598346703099,68430.0367136,68431.0963219,0,1.57729240000481,4
55,1,1,5,9,1.70516894047566,68432.6736889,68434.3968856,0,1.18065949999436,5
56,1,1,8,15,1.80621635087452,68435.5776351,68437.4083956,0,1.2010200000077,7
57,1,1,7,22,1.18902425581529,68438.6096922,68439.818453,0,2.31897680000111,7
58,1,1,4,6,1.14369377882346,68442.1375032,68443.2984239,0,1.46300439999322,6
59,1,2,6,4,1.55120474751667,68444.7617951,68446.3394634,0,0.966118900003494,6
60,1,1,8,9,1.00963222022189,68447.3059181,68448.3310786,0,0.974559900001623,7
61,1,1,7,17,1.29511562476073,68449.3060482,68450.6176125,0,0.951783600001363,7
62,1,2,7,3,1.86094809181077,68451.5695852,68453.4349559,0,0.926414300003671,6
63,1,1,8,5,1.24450697677265,68454.3617456,68455.6108449,0,1.23075479999534,8
64,1,1,4,10,1.97826309787759,68456.8416794,68458.8294165,0,1.40402040000481,5
65,1,2,8,15,1.98981496220185,68460.2335106,68462.2374769,0,1.42796909999743,9
