ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,1,1,9,1.949205362,56808.1397,56810.0889,0,1.9164736,3
2,1,2,4,20,1.405595984,56812.0053,56813.4109,0,0.9647727,4
3,1,1,9,11,1.565431612,56814.3757,56815.9411,0,2.3370525,9
4,1,1,2,6,1.208931092,56818.2782,56819.4871,0,1.0892613,2
5,1,2,4,14,1.793625809,56820.5764,56822.3700,0,2.0518788,5
6,1,2,8,18,1.603829337,56824.4219,56826.0257,0,1.5025447,4
7,1,1,5,4,1.767537713,56827.5283,56829.2958,0,1.1560305,4
8,3,1,4,21,1.795601245,56830.4518,56832.2474,0,NaN,None
9,1,1,9,9,1.887451251,56836.2474,56838.1349,0,2.5024420,8
10,1,1,1,3,1.774818537,56840.6373,56842.4121,0,1.6125343,1
11,1,2,6,6,1.997872044,56844.0247,56846.0226,0,1.7248801,6
12,1,2,9,5,1.717238476,56847.7474,56849.4647,0,1.0719797,4
13,1,2,8,19,1.308440152,56850.5366,56851.8451,0,0.9425087,6
14,1,2,2,15,1.805786110,56852.7876,56854.5934,0,1.9676773,3
15,1,1,8,12,1.021287075,56856.5611,56857.5823,0,3.1302103,8
16,1,2,2,22,1.909854384,56860.7126,56862.6224,0,1.3202710,2
17,1,2,1,5,1.839366369,56863.9427,56865.7821,0,1.4596817,2
18,1,1,5,10,1.560016526,56867.2417,56868.8017,0,2.3727086,6
19,1,1,1,16,1.913778391,56871.1745,56873.0882,0,1.3854395,2
20,1,1,2,12,1.289969611,56874.4737,56875.7636,0,1.5671668,4
21,1,2,4,13,1.016902186,56877.3308,56878.3477,0,0.8715155,5
22,1,1,3,5,1.562992424,56879.2192,56880.7822,0,3.5550982,3
23,1,2,7,9,1.372844023,56884.3373,56885.7102,0,2.1296697,7
24,1,2,7,19,1.252472011,56887.8398,56889.0923,0,1.4318236,7
25,1,2,6,7,1.118598179,56890.5241,56891.6427,0,1.1332397,5
26,1,2,3,1,1.879032914,56892.7760,56894.6550,0,1.9953855,3
27,1,1,8,4,1.712366711,56896.6504,56898.3628,0,1.5458231,4
28,1,1,9,8,1.018466231,56899.9086,56900.9270,0,2.5341330,7
29,1,2,6,17,1.348901484,56903.4612,56904.8101,0,1.7848126,3
30,1,2,7,21,1.519598286,56906.5949,56908.1145,0,1.9079017,7
31,1,2,1,19,1.618057548,56910.0224,56911.6404,0,1.5283391,2
32,1,1,4,9,1.763151583,56913.1688,56914.9319,0,2.6872728,4
33,1,1,7,6,1.735873317,56917.6192,56919.3551,0,1.5706362,4
34,1,2,7,17,1.274858387,56920.9257,56922.2006,0,2.3266651,7
35,1,1,5,9,1.872549979,56924.5272,56926.3998,0,2.4575844,5
36,1,1,9,10,1.823883618,56928.8574,56930.6813,0,2.7009544,8
37,1,1,6,8,1.451998346,56933.3822,56934.8342,0,2.3098033,3
38,1,1,6,16,1.422375569,56937.1440,56938.5664,0,1.2383675,5
39,1,1,8,14,1.393426273,56939.8048,56941.1982,0,2.6909090,8
40,1,1,7,22,1.395340443,56943.8891,56945.2844,0,2.5593418,7
41,1,2,5,1,1.916255971,56947.8438,56949.7600,0,1.8677182,6
42,1,2,9,9,1.019538448,56951.6278,56952.6473,0,1.5242859,9
43,1,1,7,14,1.151426102,56954.1716,56955.3230,0,1.4869951,7
44,1,2,2,17,1.018013616,56956.8100,56957.8280,0,2.4028299,2
45,1,1,1,17,1.272621343,56960.2308,56961.5035,0,1.7640449,2
46,1,1,7,21,1.229587967,56963.2675,56964.4971,0,1.3926515,8
47,1,1,5,21,1.896529287,56965.8897,56967.7863,0,1.5603507,3
48,1,2,9,15,1.419991220,56969.3466,56970.7666,0,0.9030625,4
49,1,1,3,6,1.614680500,56971.6697,56973.2844,0,2.6352494,2
50,1,1,4,2,1.772380741,56975.9196,56977.6920,0,3.6398825,4
51,1,2,4,22,1.137844839,56981.3319,56982.4697,0,1.7695395,5
52,1,1,1,1,1.211382258,56984.2393,56985.4506,0,1.6354878,2
53,1,1,2,20,1.509867052,56987.0861,56988.5960,0,1.7639200,2
54,1,2,5,5,1.943528000,56990.3599,56992.3034,0,1.0813167,4
55,1,2,3,3,1.335805916,56993.3848,56994.7206,0,1.9895372,3
56,1,1,6,1,1.486799847,56996.7101,56998.1969,0,1.9530530,5
57,1,1,6,15,1.771178992,57000.1500,57001.9211,0,1.8899778,3
58,1,1,8,6,1.631758208,57003.8111,57005.4429,0,0.7649953,7
59,1,2,1,6,1.019763247,57006.2079,57007.2276,0,2.0536861,2
60,1,2,3,18,1.944952861,57009.2813,57011.2263,0,2.7295599,4
61,1,2,9,22,1.518350624,57013.9558,57015.4742,0,1.0369435,9
62,1,2,4,9,1.577604205,57016.5111,57018.0887,0,2.2438613,4
63,1,2,9,11,1.045343951,57020.3326,57021.3779,0,1.5201890,9
64,1,2,4,16,1.932917813,57022.8981,57024.8310,0,1.2614431,4
65,1,2,3,4,1.039766743,57026.0925,57027.1322,0,1.5781765,4
66,1,2,7,4,1.540181729,57028.7104,57030.2506,0,1.2555274,8
67,1,2,2,5,1.347466609,57031.5061,57032.8536,0,2.5512231,2
68,1,2,9,3,1.643636988,57035.4048,57037.0485,0,1.4149703,9
69,1,2,8,7,1.429916384,57038.4634,57039.8933,0,2.2238115,7
70,1,2,2,16,1.999510975,57042.1172,57044.1167,0,2.9864898,2
71,1,1,7,18,1.154430094,57047.1032,57048.2576,0,2.4665775,8
72,1,1,3,12,1.142774620,57050.7242,57051.8669,0,1.7730420,3
73,1,1,4,4,1.356638399,57053.6400,57054.9966,0,0.8956418,5
74,1,1,5,1,1.789878656,57055.8923,57057.6821,0,2.0118859,5
75,1,1,8,20,1.771772590,57059.6940,57061.4658,0,1.9896245,7
76,1,2,6,16,1.872813322,57063.4554,57065.3282,0,3.7158394,3
77,1,2,2,12,1.005728779,57069.0441,57070.0498,0,3.4746272,2
78,1,1,6,10,1.970132034,57073.5244,57075.4946,0,1.2261713,6
79,1,1,6,9,1.782290963,57076.7207,57078.5030,0,2.9574263,5
80,1,2,5,20,1.328165181,57081.4605,57082.7886,0,1.6923085,5
81,1,1,4,22,1.632039966,57084.4809,57086.1130,0,1.5324471,4
82,1,1,9,2,1.669259004,57087.6454,57089.3147,0,2.2886166,9
83,1,1,8,9,1.723096010,57091.6033,57093.3264,0,1.5445116,8
84,1,1,3,4,1.612866416,57094.8709,57096.4838,0,2.2699483,3
85,1,1,7,15,1.694452010,57098.7537,57100.4482,0,1.3041002,7
86,1,2,2,3,1.909228571,57101.7523,57103.6615,0,1.8543049,2
87,1,2,6,2,1.301434043,57105.5158,57106.8172,0,2.5149147,6
88,1,1,5,8,1.239338874,57109.3321,57110.5715,0,1.3278284,5
89,1,2,2,19,1.828418899,57111.8993,57113.7277,0,2.3901574,2
90,1,2,2,2,1.895933593,57116.1179,57118.0138,0,2.9521446,3
91,1,2,6,4,1.604439907,57120.9660,57122.5704,0,1.1398714,6
92,1,2,1,8,1.173548960,57123.7103,57124.8838,0,2.5605256,1
93,1,2,8,14,1.983485063,57127.4444,57129.4278,0,0.9170260,8
94,1,2,5,19,1.570111911,57130.3449,57131.9150,0,0.8437810,5
95,1,2,4,19,1.307674674,57132.7588,57134.0664,0,1.2269107,4
96,1,1,8,18,1.025005237,57135.2933,57136.3183,0,2.6189395,4
97,1,1,7,20,1.157348069,57138.9373,57140.0946,0,3.8285531,6
98,1,1,5,5,1.538458476,57143.9232,57145.4616,0,1.5971882,5
99,1,2,5,11,1.269026823,57147.0588,57148.3279,0,1.4671526,5
100,1,1,6,20,1.959445863,57149.7950,57151.7545,0,2.2259032,5
101,1,1,8,8,1.561785441,57153.9804,57155.5422,0,1.3762214,7
102,1,2,6,10,1.912756239,57156.9184,57158.8311,0,1.9049301,6
103,1,2,4,3,1.148650443,57160.7361,57161.8847,0,2.7127419,4
104,1,1,4,16,1.138270121,57164.5975,57165.7357,0,2.1385116,5
105,1,2,3,14,1.484523855,57167.8742,57169.3588,0,2.5405288,4
106,1,1,6,6,1.826023974,57171.8993,57173.7253,0,1.5186538,6
107,1,1,9,19,1.776429524,57175.2440,57177.0204,0,0.6185286,8
108,1,2,8,5,1.136838530,57177.6389,57178.7758,0,1.6145875,7
109,1,1,4,7,1.149998098,57180.3903,57181.5403,0,4.0000000,4
110,1,1,1,2,1.336435351,57185.5403,57186.8768,0,1.8257613,2
111,1,2,5,3,1.322366285,57188.7025,57190.0249,0,3.9383625,6
112,1,2,9,19,1.119655427,57193.9633,57195.0829,0,1.6061078,4
113,1,1,2,18,1.108841376,57196.6890,57197.7979,0,1.2122894,2
114,1,1,7,2,1.974935491,57199.0102,57200.9851,0,2.8095465,4
115,1,1,2,16,1.534372823,57203.7946,57205.3290,0,3.2375417,2
116,1,1,9,15,1.847289008,57208.5666,57210.4138,0,0.7679001,9
117,1,2,6,1,1.367184928,57211.1817,57212.5489,0,2.1531183,3
118,1,2,6,3,1.514633632,57214.7021,57216.2167,0,1.8054178,5
119,1,1,5,22,1.740772356,57218.0221,57219.7629,0,2.4085112,5
120,1,2,1,15,1.488974102,57222.1714,57223.6604,0,1.0078319,2
121,1,1,6,7,1.858312384,57224.6682,57226.5265,0,1.6110956,6
122,1,1,8,2,1.241144455,57228.1376,57229.3787,0,1.3718524,4
123,1,1,3,18,1.753962618,57230.7506,57232.5046,0,3.3617979,2
124,1,1,3,9,1.887436396,57235.8664,57237.7538,0,2.7481788,4
125,1,2,1,22,1.999930629,57240.5020,57242.5019,0,1.0693514,2
126,1,2,8,20,1.786698525,57243.5713,57245.3580,0,2.2718839,4
127,1,2,5,14,1.438739835,57247.6298,57249.0686,0,2.1143888,4
128,1,2,8,10,1.551024941,57251.1830,57252.7340,0,2.3391248,4
129,1,1,3,22,1.680562370,57255.0731,57256.7537,0,2.2655472,2
130,1,1,3,8,1.142264683,57259.0192,57260.1615,0,1.9954263,4
131,1,2,9,2,1.342068520,57262.1569,57263.4990,0,2.7065965,9
132,1,1,3,21,1.312389804,57266.2056,57267.5180,0,1.9648788,2
133,1,2,7,13,1.565565529,57269.4829,57271.0484,0,1.8476439,6
134,1,1,2,2,1.134918576,57272.8961,57274.0310,0,1.1260318,2
135,1,1,4,12,1.732496257,57275.1570,57276.8895,0,2.0796154,5
136,1,2,2,9,1.129482706,57278.9691,57280.0986,0,1.7392354,3
137,1,1,5,14,1.594111601,57281.8378,57283.4320,0,2.5788060,5
138,1,1,4,19,1.439937963,57286.0108,57287.4507,0,1.7288092,5
139,1,1,1,20,1.783689930,57289.1795,57290.9632,0,1.6620241,2
140,1,1,2,21,1.462501731,57292.6252,57294.0877,0,1.5427337,3
141,1,2,5,7,1.038694946,57295.6305,57296.6692,0,2.0748621,5
142,1,2,4,17,1.093117154,57298.7440,57299.8371,0,1.6519153,4
143,1,2,2,13,1.308919679,57301.4890,57302.7980,0,0.9559878,3
144,1,1,7,11,1.739549128,57303.7540,57305.4935,0,1.4469844,8
145,1,1,8,13,1.400054396,57306.9405,57308.3405,0,1.3147368,7
146,1,2,7,7,1.694418842,57309.6553,57311.3497,0,1.4500081,7
147,1,1,2,1,1.525951719,57312.7997,57314.3257,0,2.5609576,2
148,1,2,7,16,1.967434961,57316.8866,57318.8540,0,0.8190723,7
149,1,1,4,11,1.414877612,57319.6731,57321.0880,0,2.5963552,5
150,1,1,7,7,1.199234768,57323.6844,57324.8836,0,1.2480436,7
151,1,1,3,20,1.606961372,57326.1316,57327.7386,0,2.0225496,3
152,1,1,1,13,1.903587205,57329.7611,57331.6647,0,1.1931578,2
153,1,2,9,7,1.006512164,57332.8579,57333.8644,0,1.4043669,9
154,1,1,9,20,1.055101848,57335.2688,57336.3239,0,1.6928848,8
155,1,2,5,9,1.946937991,57338.0168,57339.9637,0,3.3213752,3
156,1,1,1,7,1.805923148,57343.2851,57345.0910,0,1.9676367,1
157,1,2,3,8,1.726016404,57347.0586,57348.7846,0,1.5568923,4
158,1,2,3,2,1.214405826,57350.3415,57351.5559,0,1.6306911,4
159,1,2,8,22,1.980109346,57353.1866,57355.1667,0,2.7398426,8
160,1,2,1,3,1.532097492,57357.9066,57359.4387,0,1.7538818,1
161,1,2,9,21,1.440946273,57361.1926,57362.6335,0,1.9615674,9
162,1,1,5,2,1.883148820,57364.5951,57366.4782,0,1.4394052,5
163,1,2,5,22,1.497395605,57367.9176,57369.4150,0,1.7913224,5
164,1,1,7,8,1.190986326,57371.2063,57372.3973,0,2.6395347,7
165,1,2,8,9,1.667613378,57375.0369,57376.7045,0,2.0839997,7
166,1,1,4,14,1.497011588,57378.7885,57380.2855,0,1.8962952,4
167,1,2,9,13,1.426907795,57382.1818,57383.6087,0,3.0543436,9
168,1,1,9,6,1.149836964,57386.6630,57387.8129,0,2.4065191,8
169,1,2,8,3,1.291326659,57390.2194,57391.5107,0,0.7730790,7
170,1,2,2,18,1.711444778,57392.2838,57393.9952,0,1.9081793,2
171,1,2,8,1,1.629165347,57395.9034,57397.5326,0,0.8674432,8
172,1,1,5,3,1.172284218,57398.4000,57399.5723,0,2.9420687,3
173,1,2,3,17,1.808350256,57402.5144,57404.3227,0,2.1339967,3
174,1,2,3,21,1.940026852,57406.4567,57408.3968,0,2.3052204,3
175,1,1,8,7,1.878250575,57410.7020,57412.5802,0,1.3522266,8
176,1,1,9,1,1.262525671,57413.9325,57415.1950,0,1.3156568,4
177,1,1,7,3,1.679086262,57416.5106,57418.1897,0,1.9289276,6
178,1,2,8,2,1.369463027,57420.1187,57421.4881,0,2.5936951,7
179,1,1,9,22,1.244738588,57424.0818,57425.3266,0,1.3129277,8
180,1,2,4,12,1.784436696,57426.6395,57428.4239,0,1.8368782,3
181,1,1,4,6,1.241412760,57430.2608,57431.5022,0,1.5098104,4
182,1,2,8,4,1.399282558,57433.0120,57434.4113,0,1.7810029,8
183,1,1,4,15,1.297962477,57436.1923,57437.4903,0,1.6612469,3
184,3,1,4,3,1.544227344,57439.1515,57440.6957,0,NaN,None
185,1,1,3,1,1.028776153,57444.6957,57445.7245,0,0.6045311,4
186,1,2,2,4,1.391548693,57446.3290,57447.7206,0,3.7144644,3
187,1,2,3,10,1.976993604,57451.4351,57453.4121,0,1.8386664,4
188,1,1,8,11,1.612917615,57455.2507,57456.8636,0,1.6003583,8
