ID,State,Position ID,Morph Step,Face Person,ITI,Trial_Onset,Stim_Onset,Stim_Offset,RT,Answer
1,1,2,8,21,1.91300257208237,8297.4074774,8299.3426007,0,2.05873690000044,8
2,1,2,5,22,1.26065411473105,8301.40377,8302.6884284,0,2.29608289999851,6
3,1,1,2,6,1.01609871583759,8304.9857465,8306.0219696,0,1.45878789999915,8
4,1,2,4,10,1.62397683269833,8307.4812357,8309.1282041,0,2.18444470000031,6
5,1,2,7,4,1.28786082327724,8311.3139947,8312.6195089,0,2.22142460000032,3
6,1,1,3,2,1.78386740415793,8314.8409896,8316.6408873,0,2.00773189999927,7
7,1,1,7,20,1.31837162493273,8318.6486665,8319.985404,0,3.96693570000025,2
8,1,2,3,15,1.69146152116027,8323.9523844,8325.6654414,0,1.7829941,8
9,1,1,3,19,1.4419355195013,8327.4484814,8328.9134586,0,3.31971569999951,7
10,1,2,8,8,1.17576107143889,8332.2334466,8333.4327282,0,1.99211650000143,2
11,1,2,9,17,1.72564111929869,8335.4250091,8337.1713361,0,1.62901260000035,2
12,1,1,3,7,1.35357140126708,8338.8004179,8340.1769351,0,1.56786040000043,7
13,1,2,6,8,1.91921025590926,8341.745099,8343.6802599,0,1.76836059999914,2
14,1,2,1,9,1.86504044959674,8345.4486742,8347.336947,0,1.67950460000066,8
15,3,2,8,10,1.32802723021,8349.0165049,8350.3659418,0,NaN,None
16,1,2,2,21,1.47107637882124,8354.3664227,8355.8589365,0,2.00558319999982,2
17,1,1,1,7,1.50820075887395,8357.8646142,8359.3927192,0,0.83175840000149,2
18,1,1,9,12,1.47805852893348,8360.2249495,8361.7256815,0,1.01872449999973,2
19,1,1,9,5,1.00593949202023,8362.7445272,8363.7728525,0,1.66750850000062,8
20,1,2,9,10,1.00784759302324,8365.4404087,8366.4708857,0,1.20158089999859,8
21,1,1,5,15,1.41868147803446,8367.672514,8369.1069903,0,1.87738819999868,3
22,1,1,2,3,1.39450020811579,8370.9845307,8372.4004241,0,1.61608589999923,3
23,1,2,6,17,1.72485951369669,8374.016592,8375.7611996,0,2.29525319999993,5
24,1,2,8,6,1.63377252598113,8378.0565046,8379.7004389,0,2.10821730000134,7
25,1,2,9,15,1.50810110967423,8381.8087118,8383.3369288,0,1.91958010000053,9
26,1,1,3,10,1.14947977547985,8385.2566518,8386.4217373,0,3.14672510000128,3
27,1,2,5,10,1.13973409552296,8389.5685831,8390.7327882,0,2.0129724999988,5
28,3,2,1,6,1.90158564054496,8392.7465005,8394.6638224,0,NaN,None
29,1,2,9,18,1.52793597927701,8398.6638756,8400.2166557,0,1.3680246999993,7
30,1,2,5,9,1.12510715998607,8401.5848467,8402.7326295,0,2.61994380000033,3
31,1,2,9,6,1.845873610421,8405.3526434,8407.2165114,0,2.24084450000009,7
32,1,1,1,8,1.83636045344677,8409.4574798,8411.3143032,0,2.92619959999865,2
33,1,2,8,14,1.77927842720364,8414.2408505,8416.0411748,0,2.26357819999976,7
34,1,1,6,19,1.19655578851591,8418.3048034,8419.5232617,0,3.38934229999904,4
35,1,2,5,3,1.99426723990836,8422.9126718,8424.9278818,0,3.40862050000032,4
36,1,2,1,21,1.97806874140577,8428.3365586,8430.3393317,0,2.70135700000174,2
37,1,2,3,18,1.36670742248003,8433.0407641,8434.4274061,0,2.37298580000061,3
38,1,1,3,6,1.15870717222455,8436.8004401,8437.9755503,0,2.85684250000122,4
39,1,1,3,12,1.67285355679068,8440.8324615,8442.5229118,0,2.23755770000025,2
40,1,2,8,12,1.04546505993844,8444.7605195,8445.8267316,0,2.73398590000033,8
41,1,1,2,19,1.38997253459935,8448.5610136,8449.970752,0,2.39775560000089,3
42,1,1,7,7,1.32463074026103,8452.3685908,8453.716874,0,2.70770480000101,8
43,1,1,2,18,1.43198819263952,8456.4246344,8457.8797912,0,2.24063519999982,1
44,1,1,1,5,1.89077624643737,8460.1204742,8462.0316488,0,0.944925199999489,1
